epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7884,1.76972,4.09775,1.46406,0.62128,0.11562,0.15466,0.09391,1.84605,3.14549,1.27026,0.000121978,0.000121978,0.000121978
2,57.4813,1.72622,2.90473,1.3566,0.22428,0.39397,0.28853,0.17713,1.86671,2.19195,1.32281,0.000240454,0.000240454,0.000240454
3,84.9381,1.66869,2.32301,1.33632,0.41307,0.44067,0.41648,0.25934,1.81953,1.86977,1.28939,0.000354046,0.000354046,0.000354046
4,112.193,1.63644,2.01585,1.29214,0.44881,0.46125,0.45897,0.26989,1.83327,1.82386,1.27754,0.000348022,0.000348022,0.000348022
5,138.76,1.5918,1.85516,1.27197,0.59495,0.50325,0.53118,0.3067,1.74814,1.60252,1.22036,0.000340696,0.000340696,0.000340696
6,165.34,1.54978,1.72649,1.25637,0.64994,0.47551,0.53576,0.31581,1.78016,1.56126,1.2615,0.00033337,0.00033337,0.00033337
7,192.472,1.52017,1.62595,1.24645,0.67659,0.52978,0.59599,0.3698,1.69822,1.45563,1.21627,0.000326044,0.000326044,0.000326044
8,218.812,1.50359,1.56256,1.24131,0.68826,0.5586,0.59786,0.34491,1.76848,1.4186,1.25468,0.000318718,0.000318718,0.000318718
9,245.124,1.49399,1.50487,1.22499,0.64839,0.55211,0.58333,0.36073,1.67248,1.39199,1.20132,0.000311392,0.000311392,0.000311392
10,271.505,1.4729,1.43155,1.21609,0.63421,0.60147,0.62919,0.38062,1.70536,1.36372,1.21277,0.000304066,0.000304066,0.000304066
11,297.536,1.44621,1.39234,1.20866,0.60638,0.63551,0.63297,0.38368,1.71094,1.32053,1.20588,0.00029674,0.00029674,0.00029674
12,324.43,1.45724,1.33394,1.19629,0.67409,0.64421,0.64318,0.3914,1.69253,1.25503,1.19759,0.000289414,0.000289414,0.000289414
13,351.095,1.43454,1.29523,1.18812,0.6815,0.61955,0.65281,0.39138,1.7094,1.29545,1.21406,0.000282088,0.000282088,0.000282088
14,377.798,1.43238,1.24576,1.1688,0.72985,0.59203,0.63432,0.38153,1.74073,1.33328,1.22696,0.000274762,0.000274762,0.000274762
15,404.419,1.4138,1.26032,1.18951,0.73029,0.64406,0.67719,0.40982,1.70043,1.24457,1.20919,0.000267436,0.000267436,0.000267436
16,431.196,1.40702,1.20499,1.17359,0.7896,0.61832,0.66457,0.41198,1.68735,1.20277,1.20057,0.00026011,0.00026011,0.00026011
17,458.294,1.38139,1.16307,1.16146,0.74845,0.6159,0.66961,0.41204,1.71335,1.21854,1.21707,0.000252784,0.000252784,0.000252784
18,483.462,1.36965,1.14309,1.15512,0.78072,0.64841,0.69779,0.4252,1.69974,1.16245,1.19851,0.000245458,0.000245458,0.000245458
19,510.01,1.37057,1.13118,1.1607,0.73832,0.64947,0.68669,0.41362,1.71631,1.22989,1.21014,0.000238132,0.000238132,0.000238132
20,536.346,1.35663,1.11254,1.14683,0.75374,0.6576,0.71069,0.44174,1.68532,1.17608,1.19514,0.000230806,0.000230806,0.000230806
21,562.785,1.34616,1.09217,1.14628,0.71061,0.64736,0.68111,0.41762,1.70564,1.19308,1.2051,0.00022348,0.00022348,0.00022348
22,589.432,1.33921,1.06655,1.14082,0.73981,0.62832,0.65252,0.39488,1.74813,1.2092,1.22136,0.000216154,0.000216154,0.000216154
23,615.844,1.32911,1.04425,1.13839,0.74363,0.61886,0.67877,0.41972,1.71239,1.1699,1.19425,0.000208828,0.000208828,0.000208828
24,642.424,1.31818,1.03574,1.12723,0.7212,0.6306,0.69656,0.44279,1.68464,1.16782,1.17768,0.000201502,0.000201502,0.000201502
25,669.556,1.32021,1.02354,1.12806,0.68511,0.6742,0.68786,0.42757,1.68495,1.13231,1.19844,0.000194176,0.000194176,0.000194176
26,696.092,1.31413,0.99599,1.11861,0.75032,0.63277,0.677,0.42087,1.72368,1.1559,1.22209,0.00018685,0.00018685,0.00018685
27,722.152,1.30425,1.00235,1.12081,0.79855,0.60307,0.67763,0.41492,1.70002,1.13213,1.20234,0.000179524,0.000179524,0.000179524
28,748.378,1.307,0.97477,1.11666,0.74739,0.6549,0.68359,0.42457,1.70249,1.14115,1.20591,0.000172198,0.000172198,0.000172198
29,774.373,1.28399,0.9714,1.12494,0.7675,0.64508,0.69726,0.44066,1.70329,1.15896,1.20493,0.000164872,0.000164872,0.000164872
30,801.269,1.28376,0.96015,1.11094,0.69569,0.68215,0.68108,0.42598,1.69716,1.13379,1.18996,0.000157546,0.000157546,0.000157546
31,827.624,1.27012,0.94848,1.115,0.75287,0.65223,0.68862,0.43361,1.71141,1.16036,1.19943,0.00015022,0.00015022,0.00015022
32,854.689,1.26928,0.93598,1.09705,0.78217,0.6405,0.68897,0.42538,1.7143,1.14181,1.20985,0.000142894,0.000142894,0.000142894
33,881.41,1.26485,0.93276,1.1122,0.72799,0.65619,0.68912,0.43537,1.69761,1.13757,1.1979,0.000135568,0.000135568,0.000135568
34,909.563,1.25601,0.93115,1.09792,0.76779,0.63568,0.67293,0.41477,1.72927,1.1384,1.21735,0.000128242,0.000128242,0.000128242
35,938.02,1.2445,0.91467,1.09751,0.78163,0.65578,0.68688,0.42965,1.69389,1.09834,1.20219,0.000120916,0.000120916,0.000120916
36,964.338,1.24908,0.90854,1.10238,0.76592,0.65971,0.70854,0.44956,1.69937,1.10713,1.20098,0.00011359,0.00011359,0.00011359
37,990.483,1.24126,0.89959,1.10243,0.73546,0.68248,0.69914,0.44634,1.71193,1.1122,1.20231,0.000106264,0.000106264,0.000106264
38,1016.8,1.23171,0.88042,1.08548,0.78586,0.68593,0.69621,0.43264,1.71824,1.11327,1.20798,9.8938e-05,9.8938e-05,9.8938e-05
39,1042.8,1.20411,0.85478,1.07915,0.73948,0.70014,0.71014,0.4492,1.71667,1.08707,1.20376,9.1612e-05,9.1612e-05,9.1612e-05
40,1069.54,1.22442,0.87595,1.09248,0.77235,0.66038,0.70272,0.44447,1.71292,1.1089,1.20031,8.4286e-05,8.4286e-05,8.4286e-05
41,1097.9,1.23395,0.88395,1.10463,0.72824,0.65563,0.67542,0.4244,1.70672,1.12953,1.20787,7.696e-05,7.696e-05,7.696e-05
42,1123.55,1.20626,0.81301,1.08767,0.74506,0.66625,0.69322,0.43823,1.70092,1.09936,1.20361,6.9634e-05,6.9634e-05,6.9634e-05
43,1149.4,1.20612,0.8014,1.08689,0.74987,0.6664,0.69061,0.44058,1.70938,1.11651,1.20411,6.2308e-05,6.2308e-05,6.2308e-05
44,1175.28,1.19589,0.79132,1.0805,0.80953,0.61998,0.69581,0.43319,1.70895,1.10594,1.20482,5.4982e-05,5.4982e-05,5.4982e-05
45,1200.37,1.19289,0.78509,1.0765,0.77543,0.627,0.69071,0.43083,1.7099,1.10696,1.20363,4.7656e-05,4.7656e-05,4.7656e-05
46,1225.75,1.17885,0.7744,1.06808,0.81233,0.61184,0.6852,0.43123,1.7163,1.10709,1.2067,4.033e-05,4.033e-05,4.033e-05
47,1252.08,1.17534,0.7684,1.06854,0.82367,0.65161,0.70507,0.43847,1.71253,1.08828,1.20525,3.3004e-05,3.3004e-05,3.3004e-05
48,1278.42,1.16577,0.7567,1.06174,0.7244,0.69268,0.69504,0.43666,1.70841,1.09412,1.20043,2.5678e-05,2.5678e-05,2.5678e-05
49,1304.63,1.16574,0.76137,1.06742,0.81079,0.66007,0.70115,0.44152,1.70563,1.09566,1.20027,1.8352e-05,1.8352e-05,1.8352e-05
50,1331.37,1.16023,0.75641,1.06381,0.806,0.6616,0.70291,0.44465,1.70481,1.09053,1.20087,1.1026e-05,1.1026e-05,1.1026e-05
